PRICE,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,EXPIRY DATE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
26000.00,"6,260",234,"2,729",9.41,128.4,-4.45,75,127.5,128.6,225,28-Oct-25,300,"1,134.15","1,188.15",375,35.05,"1,167.90",14.44,29,-10,161
26000.00,"35,686","1,739","5,182",9.2,375.4,-9.45,75,375.4,377.25,150,30-Dec-25,225,"1,137.35","1,149.50",75,25.75,"1,137.25",14.99,"1,040",243,"18,995"
26000.00,"2,082",172,414,8.25,743.05,3.85,150,735.55,746.85,150,31-Mar-26,225,"1,095.50","1,114.00",75,22.8,"1,105.00",15.51,344,234,518
26000.00,42,-,-,-,"1,100.00",-,75,"1,103.00","1,140.00",150,30-Jun-26,75,"1,120.00","1,178.25",150,-,"1,201.00",-,-,-,40
26000.00,125,6,12,-,"1,906.00",-4,75,"1,870.80","1,909.20",75,29-Dec-26,75,"1,240.00","1,289.95",75,-,"1,235.00",18.75,19,2,708
26000.00,-,-,-,-,-,-,-,-,-,-,29-Jun-27,"1,800",34.2,-,-,-,-,-,-,-,-
26000.00,-,-,-,-,-,-,-,-,-,-,28-Dec-27,75,"1,150.15",-,-,-,"1,100.00",-,-,-,3
26000.00,-,-,-,-,-,-,-,-,-,-,26-Dec-28,75,801.45,-,-,-,-,-,-,-,-
26000.00,-,-,-,-,-,-,-,-,-,-,26-Jun-29,-,-,-,-,-,"1,391.75",-,-,-,0
26000.00,-,-,-,-,-,-,-,-,-,-,28-Jun-29,-,-,-,-,-,-,-,-,-,0
26000.00,-,-,-,-,-,-,-,-,-,-,25-Jun-30,75,671.35,-,-,-,-,-,-,-,-
27000.00,"19,309","-5,074","78,971",51.1,0.05,-0.25,-,-,0.05,"3,16,950",14-Aug-25,75,"2,366.60","2,370.45",75,3.45,"2,365.25",-,96,-38,77
27000.00,"14,901",-313,"2,332",17.94,1.7,-0.25,75,1.5,1.7,600,28-Aug-25,150,"2,310.70","2,319.95",75,34.25,"2,310.00",27.68,85,-20,"9,348"
27000.00,"17,905",137,"2,642",11.8,12.65,-0.55,225,12.25,12.6,225,30-Sep-25,75,"2,159.20","2,172.25",75,23.25,"2,145.25",19.13,139,25,"5,392"
27000.00,"24,843",98,"3,112",9.71,147.3,-2.2,375,145.1,147.5,300,30-Dec-25,75,"1,894.40","1,901.65",75,40.85,"1,894.50",17.15,588,4,"10,235"
27000.00,"2,805",183,576,8.58,370,3.65,75,368.8,370,"1,800",31-Mar-26,150,705,"3,443.60",75,-,"1,500.05",-,-,-,1
27000.00,-,-,-,-,-,-,75,89,-,-,30-Jun-26,-,-,-,-,-,-,-,-,-,-
27000.00,481,-,1,6.39,"1,389.10",-22.3,75,"1,383.80","1,426.55",75,29-Dec-26,75,"1,656.00","1,698.95","1,500",19.3,"1,695.00",19.54,2,1,234
27000.00,-,-,-,-,-,-,-,-,-,-,29-Jun-27,"1,800",35.4,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,28-Dec-27,75,"1,151.25",-,-,-,"2,492.45",-,-,-,1
27000.00,-,-,-,-,-,-,-,-,-,-,27-Jun-28,"1,800",56.15,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,26-Dec-28,75,961.45,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,24-Dec-29,"1,800",36.15,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,25-Jun-30,75,821.35,-,-,-,-,-,-,-,-
